order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id
61,"2012-04-01 06:45:11",61,49.99,19.49,1890
62,"2012-04-01 12:38:27",62,49.99,19.49,1912
63,"2012-04-01 17:33:26",63,49.99,19.49,1939
64,"2012-04-01 18:26:19",64,49.99,19.49,1944
65,"2012-04-02 11:07:48",65,49.99,19.49,2036
66,"2012-04-02 16:32:15",66,49.99,19.49,2089
67,"2012-04-02 17:17:42",67,49.99,19.49,2102
68,"2012-04-02 18:36:27",68,49.99,19.49,2115
69,"2012-04-03 10:29:20",69,49.99,19.49,2210
70,"2012-04-03 11:53:36",70,49.99,19.49,2231
71,"2012-04-03 15:03:48",71,49.99,19.49,2262
72,"2012-04-03 16:31:50",72,49.99,19.49,2291
73,"2012-04-03 16:36:02",73,49.99,19.49,2295
74,"2012-04-03 19:09:43",74,49.99,19.49,2325
75,"2012-04-04 07:47:38",75,49.99,19.49,2392
76,"2012-04-04 11:13:55",76,49.99,19.49,2422
77,"2012-04-04 11:34:52",77,49.99,19.49,2431
78,"2012-04-04 18:21:44",78,49.99,19.49,2514
79,"2012-04-04 19:00:06",79,49.99,19.49,2522
80,"2012-04-05 10:34:00",80,49.99,19.49,2624
81,"2012-04-05 13:15:34",81,49.99,19.49,2668
82,"2012-04-05 20:11:27",82,49.99,19.49,2770
83,"2012-04-06 04:04:23",83,49.99,19.49,2810
84,"2012-04-06 12:16:39",84,49.99,19.49,2879
85,"2012-04-06 17:13:09",85,49.99,19.49,2942
86,"2012-04-06 22:48:48",86,49.99,19.49,2982
87,"2012-04-07 04:47:20",87,49.99,19.49,3000
88,"2012-04-07 16:15:03",88,49.99,19.49,3040
89,"2012-04-07 16:55:38",89,49.99,19.49,3044
90,"2012-04-08 02:25:16",90,49.99,19.49,3077
91,"2012-04-08 05:52:53",91,49.99,19.49,3082
92,"2012-04-08 20:50:48",92,49.99,19.49,3137
93,"2012-04-08 21:10:18",93,49.99,19.49,3139
94,"2012-04-08 22:33:08",94,49.99,19.49,3147
95,"2012-04-09 09:49:50",95,49.99,19.49,3189
96,"2012-04-09 09:50:14",96,49.99,19.49,3188
97,"2012-04-09 11:25:30",97,49.99,19.49,3208
98,"2012-04-09 15:01:23",98,49.99,19.49,3247
99,"2012-04-09 19:48:47",99,49.99,19.49,3295
100,"2012-04-09 20:28:57",100,49.99,19.49,3299
101,"2012-04-09 22:56:37",101,49.99,19.49,3318
102,"2012-04-09 23:25:30",102,49.99,19.49,3322
103,"2012-04-10 14:21:17",103,49.99,19.49,3421
104,"2012-04-10 16:40:18",104,49.99,19.49,3446
105,"2012-04-10 22:27:09",105,49.99,19.49,3496
106,"2012-04-11 14:13:17",106,49.99,19.49,3604
107,"2012-04-11 15:22:47",107,49.99,19.49,3618
108,"2012-04-11 16:38:56",108,49.99,19.49,3642
109,"2012-04-11 20:19:28",109,49.99,19.49,3683
110,"2012-04-11 21:59:27",110,49.99,19.49,3689
111,"2012-04-12 10:03:06",111,49.99,19.49,3746
112,"2012-04-12 10:51:25",112,49.99,19.49,3765
113,"2012-04-12 13:30:14",113,49.99,19.49,3789
114,"2012-04-12 15:50:47",114,49.99,19.49,3807
115,"2012-04-13 02:13:16",115,49.99,19.49,3873
116,"2012-04-13 14:53:49",116,49.99,19.49,3947
117,"2012-04-14 23:26:48",117,49.99,19.49,4100
118,"2012-04-15 09:00:37",118,49.99,19.49,4119
119,"2012-04-15 13:20:39",119,49.99,19.49,4130
120,"2012-04-15 15:10:58",120,49.99,19.49,4136
121,"2012-04-15 16:36:31",121,49.99,19.49,4140
122,"2012-04-16 13:22:52",122,49.99,19.49,4224
123,"2012-04-16 14:54:24",123,49.99,19.49,4232
124,"2012-04-16 15:03:23",124,49.99,19.49,4235
125,"2012-04-16 17:59:57",125,49.99,19.49,4249
126,"2012-04-16 19:33:33",126,49.99,19.49,4258
127,"2012-04-17 19:20:42",127,49.99,19.49,4372
128,"2012-04-18 10:28:38",128,49.99,19.49,4420
129,"2012-04-18 12:10:33",129,49.99,19.49,4437
130,"2012-04-18 18:51:07",130,49.99,19.49,4490
131,"2012-04-18 19:59:44",131,49.99,19.49,4501
132,"2012-04-19 07:42:08",132,49.99,19.49,4531
133,"2012-04-19 13:21:03",133,49.99,19.49,4559
134,"2012-04-19 14:19:40",134,49.99,19.49,4566
135,"2012-04-19 14:20:15",135,49.99,19.49,4567
136,"2012-04-19 19:02:48",136,49.99,19.49,4605
137,"2012-04-19 21:50:45",137,49.99,19.49,4620
138,"2012-04-20 14:02:15",138,49.99,19.49,4685
139,"2012-04-21 17:39:59",139,49.99,19.49,4770
140,"2012-04-22 11:01:02",140,49.99,19.49,4801
141,"2012-04-22 16:58:22",141,49.99,19.49,4815
142,"2012-04-22 21:22:31",142,49.99,19.49,4828
143,"2012-04-23 11:07:52",143,49.99,19.49,4878
144,"2012-04-23 11:27:53",144,49.99,19.49,4881
145,"2012-04-23 12:31:17",145,49.99,19.49,4889
146,"2012-04-23 17:12:15",146,49.99,19.49,4923
147,"2012-04-23 20:59:07",147,49.99,19.49,4943
148,"2012-04-23 22:39:58",148,49.99,19.49,4951
149,"2012-04-23 22:57:17",149,49.99,19.49,4952
150,"2012-04-24 19:22:17",150,49.99,19.49,5054
151,"2012-04-24 23:13:26",151,49.99,19.49,5065
152,"2012-04-25 21:05:32",152,49.99,19.49,5151
153,"2012-04-26 15:35:59",153,49.99,19.49,5252
154,"2012-04-26 17:43:19",154,49.99,19.49,5270
155,"2012-04-26 22:22:55",155,49.99,19.49,5292
156,"2012-04-27 01:22:32",156,49.99,19.49,5297
157,"2012-04-27 19:42:18",157,49.99,19.49,5386
158,"2012-04-29 16:58:56",158,49.99,19.49,5458
159,"2012-04-30 12:14:59",159,49.99,19.49,5538
