order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
594,"2014-03-01 10:59:50",11974,11535,59.99
595,"2014-03-01 13:21:04",12122,11643,45.99
596,"2014-03-01 20:14:03",12430,11866,29.99
597,"2014-03-02 02:18:21",12035,11582,49.99
598,"2014-03-02 20:08:24",12359,11811,45.99
599,"2014-03-02 20:33:35",12406,11848,49.99
600,"2014-03-03 23:49:12",12135,11652,49.99
601,"2014-03-04 19:59:19",12287,11760,45.99
602,"2014-03-05 11:49:54",12608,11999,49.99
603,"2014-03-08 00:37:01",12744,12101,49.99
604,"2014-03-08 01:13:49",12737,12095,49.99
605,"2014-03-09 05:12:32",12761,12115,45.99
606,"2014-03-09 06:52:47",12403,11845,49.99
607,"2014-03-09 19:25:17",12544,11951,49.99
608,"2014-03-11 04:40:05",12531,11941,49.99
609,"2014-03-13 03:24:53",12591,11987,49.99
610,"2014-03-13 03:26:11",12738,12096,49.99
611,"2014-03-14 14:28:06",12560,11964,45.99
612,"2014-03-15 04:16:38",13175,12436,49.99
613,"2014-03-15 09:09:23",12869,12198,49.99
614,"2014-03-16 10:27:47",12724,12085,49.99
615,"2014-03-16 15:24:21",12844,12179,59.99
616,"2014-03-17 18:34:45",13224,12470,49.99
617,"2014-03-18 01:20:59",13251,12491,45.99
618,"2014-03-18 12:58:10",12902,12225,45.99
619,"2014-03-19 19:06:22",13003,12295,49.99
620,"2014-03-20 04:50:10",12970,12273,45.99
621,"2014-03-20 10:40:28",13150,12414,49.99
622,"2014-03-21 02:37:19",13405,12601,49.99
623,"2014-03-22 21:17:45",13530,12694,45.99
624,"2014-03-23 13:10:19",12960,12267,45.99
625,"2014-03-23 22:27:33",13165,12428,49.99
626,"2014-03-24 15:46:08",13651,12783,49.99
627,"2014-03-24 20:15:46",13259,12497,45.99
628,"2014-03-25 06:33:06",13108,12377,49.99
629,"2014-03-25 18:40:12",13230,12474,29.99
630,"2014-03-26 02:11:53",13669,12798,49.99
631,"2014-03-26 09:52:51",13542,12704,49.99
632,"2014-03-26 14:46:45",13508,12677,45.99
633,"2014-03-27 12:38:52",13343,12553,59.99
634,"2014-03-28 11:16:37",13606,12749,45.99
635,"2014-03-28 12:21:44",13438,12626,45.99
636,"2014-03-28 13:07:30",13400,12596,49.99
637,"2014-03-29 14:27:31",13817,12905,49.99
638,"2014-03-30 22:35:06",13452,12637,49.99
